Id, Date
35500,2021-11-04 09:40:00
35400,2021-10-28 16:46:00
35384,2021-10-28 09:58:00
34877,2021-09-27 13:01:00
34004,2021-07-29 09:03:00
33127,2021-06-08 12:03:00
32574,2021-05-03 14:08:00
32567,2021-05-03 11:23:00
32568,2021-05-03 11:30:00
31662,2021-03-11 07:51:00
30015,2020-11-24 10:46:00
29193,2020-10-02 08:19:00
29446,2020-10-20 06:29:00
28634,2020-08-27 11:19:00
26064,2020-06-08 13:47:00
27728,2020-06-26 12:15:00
25837,2020-05-25 07:53:00
25735,2020-05-15 05:48:00
25742,2020-05-15 08:22:00
25298,2020-04-15 14:00:00
24808,2020-03-11 15:51:00
17239,2018-08-20 14:59:00
18584,2018-11-29 08:08:00
18723,2018-12-10 15:51:00
18999,2019-01-15 10:48:00
19075,2019-01-21 12:57:00
19256,2019-02-05 07:55:00
20308,2019-04-25 08:23:00
21111,2019-06-27 08:29:00
21430,2019-07-19 09:59:00
21462,2019-07-23 11:57:00
21888,2019-08-27 11:48:00
21894,2019-08-28 05:06:00
22853,2019-11-01 07:42:00
16656,2018-07-04 10:20:00
